Tue Jul 28 2020 15:55:28 GMT+0800 (GMT+08:00)
CH\瑞士超级联赛\苏黎世(FC Zurich) VS 锡永(Sion) | 2020/7/29 02:30 | 主 | 卖 | 119 | 07-28 13:17:05
[竞彩20200729期第001场] AU\澳大利亚超级联赛\墨尔本胜利(Melbourne Victory) VS 布里斯班狮吼(Brisbane R | 2020/7/29 17:30 | 平 | 买 | 587 | 07-28 10:16:57
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | - | 0 | 07-28 12:35:04
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | 买 | 11026 | 07-28 12:55:17
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | 卖 | 323 | 07-28 13:12:01
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | 卖+ | 700 | 07-28 13:52:29
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | 买 | 244 | 07-28 14:00:32
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | - | 0 | 07-28 14:12:42
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | - | 0 | 07-28 14:24:45
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 主 | 卖+ | 232 | 07-28 15:01:04
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | - | 0 | 07-28 12:35:04
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | - | 0 | 07-28 12:55:17
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | 卖+ | 2 | 07-28 13:12:01
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | - | 0 | 07-28 13:52:29
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | - | 0 | 07-28 14:00:32
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | 卖 | 438 | 07-28 14:12:42
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 客 | 买+ | 22 | 07-28 15:01:04
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 平 | - | 0 | 07-28 12:35:04
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 平 | - | 0 | 07-28 12:55:17
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 平 | 卖+ | 23 | 07-28 13:12:01
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 平 | 买+ | 141 | 07-28 14:24:45
[竞彩20200729期第028场] GB\英冠\布伦特福德(Brentford) VS 斯旺西(Swansea) | 2020/7/30 02:45 | 平 | 买+ | 37 | 07-28 15:01:04
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 主 | 买 | 21433 | 07-28 13:50:17
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 主 | 买 | 84944 | 07-28 14:46:03
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 主 | 买 | 24144 | 07-28 14:53:03
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 主 | 买 | 35231 | 07-28 15:38:23
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 客 | 卖 | 5609 | 07-28 14:46:03
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 客 | 卖 | 4558 | 07-28 15:38:23
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 平 | 卖+ | 2951 | 07-28 13:50:17
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 平 | 卖+ | 2960 | 07-28 14:53:03
[竞彩20200728期第002场] IT\意甲\国际米兰(Inter) VS 那不勒斯(Napoli) | 2020/7/29 03:45 | 平 | 卖 | 3877 | 07-28 15:38:23
[竞彩20200728期第001场] IT\意甲\帕尔马(Parma) VS 亚特兰大(Atalanta) | 2020/7/29 01:30 | 主 | 买 | 2818 | 07-28 03:00:36
[竞彩20200728期第001场] IT\意甲\帕尔马(Parma) VS 亚特兰大(Atalanta) | 2020/7/29 01:30 | 主 | 买+ | 5440 | 07-28 04:54:55
[竞彩20200728期第001场] IT\意甲\帕尔马(Parma) VS 亚特兰大(Atalanta) | 2020/7/29 01:30 | 客 | 卖 | 38250 | 07-28 03:00:36
[竞彩20200728期第001场] IT\意甲\帕尔马(Parma) VS 亚特兰大(Atalanta) | 2020/7/29 01:30 | 客 | 卖 | 37530 | 07-28 04:54:55
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 主 | 卖 | 118 | 07-28 02:35:27
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 主 | 卖+ | 195 | 07-28 03:03:30
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 主 | 买 | 93 | 07-28 06:27:50
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 主 | 买+ | 458 | 07-28 07:31:58
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 客 | 买 | 138 | 07-28 02:35:27
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 客 | 卖 | 1 | 07-28 06:27:50
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 客 | 买 | 110 | 07-28 07:31:58
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 平 | 买 | 105 | 07-28 02:35:27
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 平 | 买+ | 0 | 07-28 03:03:30
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 平 | 买+ | 1 | 07-28 06:27:50
US\美职\波特兰伐木工(Portland Timbers) VS 辛辛那提FC(FC Cincinnati) | 2020/7/29 10:30 | 平 | 买 | 104 | 07-28 07:31:58
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 买 | 150 | 07-28 02:39:08
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 卖 | 49 | 07-28 02:51:10
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 买+ | 49 | 07-28 02:55:13
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 卖 | 34 | 07-28 05:11:35
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 卖 | 158 | 07-28 14:47:42
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 主 | 买 | 175 | 07-28 15:21:41
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 卖 | 161 | 07-28 02:39:08
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 买+ | 50 | 07-28 02:51:10
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 买+ | 50 | 07-28 02:55:13
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 卖 | 16 | 07-28 05:11:35
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 买 | 141 | 07-28 14:47:42
NO\挪威甲级联赛\汉坎(Ham-Kam) VS 兰赫姆(Ranheim IL) | 2020/7/29 01:00 | 平 | 买+ | 159 | 07-28 15:21:41
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | - | 0 | 07-27 18:50:24
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-27 19:02:27
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-27 21:22:34
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-27 23:02:38
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | - | 0 | 07-28 03:34:47
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 05:02:51
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 07:02:56
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 13:10:49
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | - | 0 | 07-27 18:50:24
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | - | 0 | 07-27 19:02:27
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | 卖+ | 0 | 07-27 21:22:34
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | 买+ | 0 | 07-27 23:02:38
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | - | 0 | 07-28 03:34:47
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | - | 0 | 07-28 05:02:51
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | - | 0 | 07-28 07:02:56
[竞彩20200729期第008场] JP\日乙\山形山神(Yamagata) VS 千叶市原(Jef Utd Chiba) | 2020/7/29 18:00 | 客 | 买+ | 0 | 07-28 13:10:49
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 卖+ | 1 | 07-27 23:02:35
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买 | 11 | 07-28 04:51:01
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 05:03:03
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 5 | 07-28 05:07:06
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 11 | 07-28 05:43:08
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 07:03:13
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 16 | 07-28 07:43:18
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 09:07:23
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 15:02:53
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 买+ | 1 | 07-27 23:02:35
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 卖 | 11 | 07-28 04:51:01
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 卖+ | 0 | 07-28 05:03:03
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 卖+ | 5 | 07-28 05:07:06
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 买 | 11 | 07-28 05:43:08
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 卖+ | 0 | 07-28 07:03:13
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 卖 | 5 | 07-28 07:43:18
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 买+ | 0 | 07-28 09:07:23
[竞彩20200729期第011场] JP\日乙\东京绿茵(Tokyo-V) VS 新泻天鹅(Albirex Niigata) | 2020/7/29 18:00 | 客 | 买+ | 0 | 07-28 15:02:53
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 主 | 买+ | 1 | 07-27 23:02:45
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 05:03:07
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 07:03:12
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 15:02:53
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 客 | 买+ | 8 | 07-27 23:02:45
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 客 | 卖+ | 1 | 07-28 05:03:07
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 客 | 买+ | 2 | 07-28 07:03:12
[竞彩20200729期第006场] JP\日乙\松本山雅(Matsumoto) VS 町田泽维亚(FC Machida) | 2020/7/29 18:00 | 客 | 卖+ | 1 | 07-28 15:02:53
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 主 | 卖 | 5 | 07-28 00:30:41
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 主 | 卖+ | 5 | 07-28 00:42:44
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 主 | 买+ | 2 | 07-28 07:03:05
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 主 | 买 | 60 | 07-28 13:22:47
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 主 | 买+ | 1 | 07-28 15:02:53
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 客 | - | 0 | 07-28 00:30:41
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 客 | 买+ | 5 | 07-28 00:42:44
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 客 | 卖+ | 0 | 07-28 07:03:05
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 客 | 卖+ | 0 | 07-28 15:02:53
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 平 | 卖+ | 0 | 07-28 13:22:47
[竞彩20200729期第012场] JP\日乙\金泽塞维根(Kanazawa) VS 大宫松鼠(Omiya) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 15:02:53
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 05:02:52
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 07:02:58
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 09:07:06
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 15:03:07
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 05:02:52
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 07:02:58
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 09:07:06
[竞彩20200729期第003场] JP\日乙\冈山绿雉(Okayama) VS 京都不死鸟(Kyoto) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 15:03:07
[竞彩20200729期第002场] JP\日乙\福冈黄蜂(Fukuoka) VS 爱媛FC(Ehime) | 2020/7/29 18:00 | 主 | 买 | 194 | 07-27 23:10:51
[竞彩20200729期第002场] JP\日乙\福冈黄蜂(Fukuoka) VS 爱媛FC(Ehime) | 2020/7/29 18:00 | 主 | 卖 | 1781 | 07-28 13:18:45
[竞彩20200729期第002场] JP\日乙\福冈黄蜂(Fukuoka) VS 爱媛FC(Ehime) | 2020/7/29 18:00 | 客 | 卖 | 14 | 07-27 23:10:51
[竞彩20200729期第002场] JP\日乙\福冈黄蜂(Fukuoka) VS 爱媛FC(Ehime) | 2020/7/29 18:00 | 平 | 买 | 19 | 07-27 23:10:51
[竞彩20200729期第002场] JP\日乙\福冈黄蜂(Fukuoka) VS 爱媛FC(Ehime) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 13:18:45
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖+ | 4 | 07-27 23:42:25
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖+ | 6 | 07-27 23:46:28
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖+ | 5 | 07-27 23:50:31
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 买 | 6 | 07-28 00:54:50
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖+ | 21 | 07-28 01:50:58
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖+ | 3 | 07-28 02:39:03
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 买 | 4 | 07-28 07:59:23
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 卖 | 4 | 07-28 11:59:35
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 主 | 买 | 11 | 07-28 12:19:38
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买 | 19 | 07-27 23:42:25
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买+ | 27 | 07-27 23:46:28
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 卖+ | 23 | 07-27 23:50:31
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买+ | 29 | 07-28 00:54:50
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买+ | 21 | 07-28 01:50:58
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买 | 14 | 07-28 02:39:03
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买+ | 19 | 07-28 07:59:23
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买 | 19 | 07-28 11:59:35
[竞彩20200729期第005场] JP\日乙\北九州向日葵(Kitakyushu) VS 德岛漩涡(Tokushima) | 2020/7/29 18:00 | 客 | 买+ | 49 | 07-28 12:19:38
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | - | 0 | 07-28 00:02:45
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖 | 1 | 07-28 00:10:49
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 买+ | 0 | 07-28 03:15:21
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 05:03:28
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 07:03:37
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 09:23:51
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 13:22:47
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 主 | 卖+ | 0 | 07-28 15:02:57
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 客 | 买 | 92 | 07-28 00:10:49
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | - | 0 | 07-28 00:02:45
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 买+ | 6 | 07-28 00:10:49
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 03:15:21
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 卖+ | 0 | 07-28 05:03:28
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 卖+ | 0 | 07-28 07:03:37
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 09:23:51
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 买+ | 0 | 07-28 13:22:47
[竞彩20200729期第009场] JP\日乙\山口雷诺法(Renofa Yamaguchi) VS 长崎航海(Nagasaki) | 2020/7/29 18:00 | 平 | 卖+ | 0 | 07-28 15:02:57
